ID F 1O 2O 3O 4O 5O
OGLE-LMC-CEP-0413 -1. 0.7629374 0.6140498 -1. -1. -1.
OGLE-LMC-CEP-0435 -1. 0.8212007 0.6608309 -1. -1. -1.
OGLE-LMC-CEP-0464 -1. 0.7086311 0.5707823 -1. -1. -1.
OGLE-LMC-CEP-0476 -1. 0.8317620 0.6692676 -1. -1. -1.
OGLE-LMC-CEP-0493 -1. 0.7088379 0.5716834 -1. -1. -1.
OGLE-LMC-CEP-0503 -1. 0.4864420 0.3904431 -1. -1. -1.
OGLE-LMC-CEP-0509 -1. 0.7133842 0.5752974 -1. -1. -1.
OGLE-LMC-CEP-0516 -1. 0.5937646 0.4785401 -1. -1. -1.
OGLE-LMC-CEP-0552 -1. 0.7425470 0.5982643 -1. -1. -1.
OGLE-LMC-CEP-0558 -1. 0.7343653 0.5917685 -1. -1. -1.
OGLE-LMC-CEP-0608 -1. 0.5702782 0.4603575 -1. -1. -1.
OGLE-LMC-CEP-0629 -1. 0.8411554 0.6777027 -1. -1. -1.
OGLE-LMC-CEP-0630 -1. 0.9904041 0.7957381 -1. -1. -1.
OGLE-LMC-CEP-0641 -1. 0.7681005 0.6182702 -1. -1. -1.
OGLE-LMC-CEP-0642 -1. 0.9916715 0.7973790 -1. -1. -1.
OGLE-LMC-CEP-0643 -1. 0.6835031 0.5508207 -1. -1. -1.
OGLE-LMC-CEP-0651 -1. 0.6427922 0.5185509 -1. -1. -1.
OGLE-LMC-CEP-0664 -1. 0.7012236 0.5652246 -1. -1. -1.
OGLE-LMC-CEP-0670 -1. 1.1862258 0.9508465 -1. -1. -1.
OGLE-LMC-CEP-0684 -1. 0.8423073 0.6789978 -1. -1. -1.
OGLE-LMC-CEP-0703 -1. 0.9605529 0.7723258 -1. -1. -1.
OGLE-LMC-CEP-0704 -1. 1.1101982 0.8907262 -1. -1. -1.
OGLE-LMC-CEP-0724 -1. 1.3212488 1.0597138 -1. -1. -1.
OGLE-LMC-CEP-0737 -1. 0.3401880 0.2729846 -1. -1. -1.
OGLE-LMC-CEP-0781 -1. 0.6271918 0.5061819 -1. -1. -1.
OGLE-LMC-CEP-0782 -1. 1.1350894 0.9115552 -1. -1. -1.
OGLE-LMC-CEP-0810 -1. 0.3426423 0.2754115 -1. -1. -1.
OGLE-LMC-CEP-0897 -1. 0.3003524 0.2421556 -1. -1. -1.
OGLE-LMC-CEP-0909 -1. 1.2204780 0.9768598 -1. -1. -1.
OGLE-LMC-CEP-0983 -1. 0.3268180 0.2630248 -1. -1. -1.
