ID F 1O 2O 3O 4O 5O
OGLE-LMC-RRLYR-03584 0.4809243 0.3578583 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03617 0.4791063 0.3564462 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03640 0.4856605 0.3619478 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03675 0.4775929 0.3553324 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03728 0.4846044 0.3607473 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03739 0.4734571 0.3519473 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03751 0.4704419 0.3498150 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03753 0.4742001 0.3526920 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03768 0.5324496 0.3968490 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03852 0.4824234 0.3587562 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03973 0.4737728 0.3524429 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03975 0.4564449 0.3387914 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03998 0.4789395 0.3564452 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04009 0.4726312 0.3513669 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04032 0.4601848 0.3418013 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04042 0.5237859 0.3904101 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04069 0.4934320 0.3672726 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04127 0.4925671 0.3665602 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04138 0.4840346 0.3603414 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04155 0.5214753 0.3889302 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04173 0.4979927 0.3709934 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04186 0.4930733 0.3668948 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04222 0.4899737 0.3648722 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04279 0.4685626 0.3482152 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04327 0.5454155 0.4067492 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04346 0.4949743 0.3683454 -1. -1. -1. -1.
